KEY,en,notes,sp,fr,de,it,pt-br,ru,ko,ja,zh
ENEMY_FA_TRACTOR_NAME,Tractor
ENEMY_FA_TRACTOR_DESC,"Charges toward units, destroying any obstacles on its way."
ENEMY_FA_FARMERCAT_NAME,Farmer Cat
ENEMY_FA_FARMERCAT_DESC,"Farmer"
ENEMY_FA_CHICK_NAME,Chick
ENEMY_FA_CHICK_DESC,"Grows up to be a rooster."
ENEMY_FA_ROOSTER_NAME,Rooster
ENEMY_FA_ROOSTER_DESC,"Attacks units twice. 
Will protect its brood."
ENEMY_FA_SHEPHERD_NAME,Shepherd
ENEMY_FA_SHEPHERD_DESC,"Blind. 
Protects farm animals. 
Shoots a Poison shot when damaged."
ENEMY_FA_ONIONBOMB_NAME,Crying Onion
ENEMY_FA_ONIONBOMB_DESC,"Might be better left alone..."
ENEMY_FA_COW_NAME,Cow
ENEMY_FA_COW_DESC,"Headbutts enemies and pushes them back.
Will get angry if its friend dies."
ENEMY_FA_FOX_NAME,Fox
ENEMY_FA_FOX_DESC,"Swift thief. Eats birds."
ITEM_FA_FOXDART_NAME,Fox Dart
